TaxID,ScientificName,ParentTaxID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
1134077,Geranomyces_michiganensis,1126249,Fungi,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Powellomycetaceae,Geranomyces,Geranomyces michiganensis,
113446,Echium_plantagineum,21610,Viridiplantae,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,Echium plantagineum,
1134497,Sicyos_mawhai,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos mawhai,
1134498,Sicyos_undara,64231,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Sicyos,Sicyos undara,
1134596,Kudoa_neothunni,69469,Metazoa,Cnidaria,Myxozoa,Multivalvulida,Kudoidae,Kudoa,Kudoa neothunni,
1134923,Morpho_hecuba,64446,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,Morpho hecuba,
1134934,Morpho_marcus,64446,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,Morpho marcus,
1134939,Morpho_telemachus,64446,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,Morpho telemachus,
1134943,Morpho_rhetenor,64446,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,Morpho rhetenor,
1134947,Morpho_achilles,64446,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,Morpho achilles,
1134954,Morpho_eugenia,64446,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Morpho,Morpho eugenia,
113505,Chironomus_tepperi,72537,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus tepperi,
113540,Scleropages_formosus,27726,Metazoa,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,
113544,Arapaima_gigas,113543,Metazoa,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Arapaima,Arapaima gigas,
113545,Campylomormyrus_elephas,91718,Metazoa,Chordata,Actinopteri,Osteoglossiformes,Mormyridae,Campylomormyrus,Campylomormyrus elephas,
113549,Pteria_penguin,61338,Metazoa,Mollusca,Bivalvia,Pterioida,Pteriidae,Pteria,Pteria penguin,
113602,Tricholoma_saponaceum,40144,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma saponaceum,
113605,Tetrapisispora_arboricola,113604,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora arboricola,
113606,Tetrapisispora_iriomotensis,113604,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora iriomotensis,
113607,Tetrapisispora_nanseiensis,113604,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora nanseiensis,
113608,Tetrapisispora_phaffii,113604,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora phaffii,
113614,Parathielavia_hyrcaniae,2609800,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Parathielavia,Parathielavia hyrcaniae,
1136207,Hakea_prostrata,54940,Viridiplantae,Streptophyta,Magnoliopsida,Proteales,Proteaceae,Hakea,Hakea prostrata,
1136231,Candida_orthopsilosis_Co_90-125,273371,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida orthopsilosis,
113626,Thermocarpiscus_australiensis,2943938,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thermocarpiscus,Thermocarpiscus australiensis,
